tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0000025	short	The Oxford and Cambridge University Boat Race	The Oxford and Cambridge University Boat Race	0	1896	\N	\N	News,Short,Sport
tt0000026	short	The Messers. Lumière at Cards	Partie d'écarté	0	1896	\N	1	Documentary,Short
tt0000027	short	Cordeliers' Square in Lyon	Place des Cordeliers à Lyon	0	1895	\N	1	Documentary,Short
tt0000028	short	Fishing for Goldfish	La pêche aux poissons rouges	0	1895	\N	1	Documentary,Short
tt0000029	short	Baby's Meal	Repas de bébé	0	1895	\N	1	Documentary,Short
tt0000030	short	Rough Sea at Dover	Rough Sea at Dover	0	1895	\N	1	Documentary,Short
tt0000031	short	Jumping the Blanket	Le saut à la couverture	0	1895	\N	1	Documentary,Short
tt0000032	short	Die Serpentintänzerin	Die Serpentintänzerin	0	1895	\N	1	Short
tt0000033	short	Horse Trick Riders	La voltige	0	1895	\N	1	Comedy,Documentary,Short
tt0000034	short	Arrivée d'un train gare de Vincennes	Arrivée d'un train gare de Vincennes	0	1896	\N	1	Documentary,Short
tt0000035	short	Watering the Flowers	L'arroseur	0	1896	\N	1	Comedy,Short
tt0000036	short	Awakening of Rip	Awakening of Rip	0	1896	\N	1	Drama,Short
tt0000037	short	Sea Bathing	Baignade en mer	0	1896	\N	1	Short
tt0000038	short	The Ball Game	The Ball Game	0	1898	\N	\N	Documentary,Short,Sport
tt0000039	short	Barnet Horse Fair	Barnet Horse Fair	0	1896	\N	\N	Short
tt0000040	short	Barque sortant du port de Trouville	Barque sortant du port de Trouville	0	1896	\N	\N	Documentary,Short
tt0000041	short	Bataille de neige	Bataille de neige	0	1897	\N	1	Comedy,Documentary,Short
tt0000042	short	Bateau-mouche sur la Seine	Bateau-mouche sur la Seine	0	1896	\N	\N	Documentary,Short
tt0000043	short	Batteuse à vapeur	Batteuse à vapeur	0	1896	\N	\N	Documentary,Short
tt0000044	short	Le bivouac	Le bivouac	0	1896	\N	1	Short
tt0000045	short	Les blanchisseuses	Les blanchisseuses	0	1896	\N	\N	Short
tt0000046	short	Bois de Boulogne	Bois de Boulogne	0	1896	\N	\N	Documentary,Short
tt0000047	short	Boulevard des Italiens	Boulevard des Italiens	0	1896	\N	\N	Documentary,Short
tt0000048	short	The Boxing Kangaroo	The Boxing Kangaroo	0	1896	\N	\N	Short
tt0000049	short	Boxing Match; or, Glove Contest	Boxing Match; or, Glove Contest	0	1896	\N	\N	Short,Sport
tt0000050	short	Bébé et fillettes	Bébé et fillettes	0	1896	\N	\N	Documentary,Short
tt0000051	short	The Bohemian Encampment	Campement de bohémiens	0	1896	\N	\N	Documentary,Short
tt0000052	short	Ruraux au galop	Ruraux au galop	0	1896	\N	1	Documentary,Short
tt0000053	short	A Chegada do Comboio Inaugural à Estação Central do Porto	A Chegada do Comboio Inaugural à Estação Central do Porto	0	1897	\N	\N	Documentary,Short
tt0000054	short	A Merry-Go-Round	Les chevaux de bois	0	1896	\N	\N	Short
tt0000055	short	Le chiffonnier	Le chiffonnier	0	1896	\N	\N	Short
tt0000056	short	Uma Corrida de Touros no Campo Pequeno	Uma Corrida de Touros no Campo Pequeno	0	1896	\N	\N	Short
tt0000057	short	Cortège de tzar allant à Versailles	Cortège de tzar allant à Versailles	0	1896	\N	\N	Documentary,Short
tt0000058	short	Cortège de tzar au Bois de Boulogne	Cortège de tzar au Bois de Boulogne	0	1896	\N	\N	Documentary,Short
tt0000059	short	Coronation of a Village Maiden	Couronnement de la rosière	0	1896	\N	\N	Short
tt0000060	short	Dancing Darkies	Dancing Darkies	0	1896	\N	\N	Documentary,Short
tt0000061	short	Dancing Girls	Dancing Girls	0	1896	\N	\N	Short
tt0000062	short	Danse serpentine	Danse serpentine	0	1896	\N	1	Short
tt0000063	short	Dessinateur express	Dessinateur express	0	1896	\N	\N	Short
tt0000064	short	Dessinateur: Chamberlain	Dessinateur: Chamberlain	0	1896	\N	\N	Short
tt0000065	short	Dessinateur: Reine Victoria	Dessinateur: Reine Victoria	0	1896	\N	\N	Short
tt0000066	short	Dessinateur: Von Bismark	Dessinateur: Von Bismark	0	1896	\N	\N	Short
tt0000067	short	Conjurer Making Ten Hats in Sixty Seconds	Dix chapeaux en 60 secondes	0	1896	\N	\N	Fantasy,Short
tt0000068	short	Unloading the Boat	Déchargement de bateaux	0	1896	\N	\N	Documentary,Short
tt0000069	short	Post No Bills	Défense d'afficher	0	1896	\N	1	Comedy,Short
tt0000070	short	Demolition of a Wall	Démolition d'un mur	0	1896	\N	1	Documentary,Short
tt0000071	short	Automobiles Starting a Race	Départ des automobiles	0	1896	\N	\N	Short,Sport
tt0000072	short	Officers of French Army Leaving Service	Départ des officiers	0	1896	\N	\N	Short
tt0000073	short	Effets de mer sur les rochers	Effets de mer sur les rochers	0	1896	\N	\N	Documentary,Short
tt0000074	short	Enfants jouant sur la plage	Enfants jouant sur la plage	0	1896	\N	\N	Documentary,Short
tt0000075	short	The Conjuring of a Woman at the House of Robert Houdin	Escamotage d'une dame au théâtre Robert Houdin	0	1896	\N	1	Horror,Short
tt0000076	short	Exit of Rip and the Dwarf	Exit of Rip and the Dwarf	0	1896	\N	1	Drama,Short
tt0000077	short	Le fakir, mystère indien	Le fakir, mystère indien	0	1896	\N	\N	Short
tt0000078	short	Feira de Gado na Corujeira	Feira de Gado na Corujeira	0	1896	\N	1	Documentary,Short
tt0000079	short	La gare Saint-Lazare	La gare Saint-Lazare	0	1896	\N	\N	Documentary,Short
tt0000080	short	Grandes manoeuvres	Grandes manoeuvres	0	1896	\N	\N	Documentary,Short
tt0000081	short	Towing a Boat on the River	Les haleurs de bateaux	0	1896	\N	\N	Documentary,Short
tt0000082	short	A Hard Wash	A Hard Wash	0	1896	\N	\N	Comedy,Short
tt0000083	short	Les indiscrets	Les indiscrets	0	1896	\N	\N	Short
tt0000084	short	Les ivrognes	Les ivrognes	0	1896	\N	\N	Short
tt0000085	short	Gardener Burning Weeds	Jardinier brûlant des herbes	0	1896	\N	\N	Short
tt0000086	short	Beach and Pier at Trouville, 1st part	Jetée et plage de Trouville (1er partie)	0	1896	\N	\N	Documentary,Short
tt0000087	short	Beach and Pier at Trouville, 2nd part	Jetée et plage de Trouville (2e partie)	0	1896	\N	\N	Documentary,Short
tt0000088	short	Market Day	Jour de marché à Trouville	0	1896	\N	\N	Documentary,Short
tt0000089	short	Leaving Jerusalem by Railway	Départ de Jérusalem en chemin de fer	0	1897	\N	1	Documentary,Short
tt0000090	short	Libération des territoriaux	Libération des territoriaux	0	1896	\N	\N	Documentary,Short
tt0000091	short	The House of the Devil	Le manoir du diable	0	1896	\N	3	Horror,Short
tt0000092	short	Marée montante sur Brise-Larmes	Marée montante sur Brise-Larmes	0	1896	\N	\N	Documentary,Short
tt0000093	short	Melbourne	Melbourne	0	1896	\N	\N	Documentary,Short
tt0000094	short	Miss de Vere	Miss de Vere	0	1896	\N	\N	Short
tt0000095	short	The Mysterious Paper	Le papier protée	0	1896	\N	\N	Short
tt0000096	short	Place Saint-Augustin	Place Saint-Augustin	0	1896	\N	\N	Documentary,Short
tt0000097	short	Place de l'Opéra, First View	Place de l'Opéra, 1er aspect	0	1896	\N	\N	Documentary,Short
tt0000098	short	Place de l'Opéra, Second View	Place de l'Opéra, 2e aspect	0	1896	\N	\N	Documentary,Short
tt0000099	short	Place de la Bastille	Place de la Bastille	0	1896	\N	\N	Documentary,Short
tt0000100	short	Place de la Concorde	Place de la Concorde	0	1896	\N	\N	Documentary,Short
tt0000101	short	Place du théâtre français	Place du théâtre français	0	1896	\N	\N	Documentary,Short
tt0000102	short	The Beach at Villiers in a Gale	Plage de Villiers par gros temps	0	1896	\N	\N	Short
tt0000103	short	Smarter than the Teacher	Plus fort que le maître	0	1896	\N	\N	Short
tt0000104	short	Pompiers à Lyon	Pompiers à Lyon	0	1896	\N	1	Documentary,Short
tt0000105	short	The Docks at Marseilles	Les quais à Marseille	0	1896	\N	\N	Documentary,Short
tt0000106	short	Retour au cantonnement	Retour au cantonnement	0	1896	\N	\N	Short
tt0000107	short	Naval Review at Cherburg	Revue navale à Cherbourg	0	1896	\N	\N	Documentary,Short
tt0000108	short	Rip Leaving Sleepy Hollow	Rip Leaving Sleepy Hollow	0	1896	\N	1	Drama,Short
tt0000109	short	Rip Meeting the Dwarf	Rip Meeting the Dwarf	0	1896	\N	1	Fantasy,Short
tt0000110	short	Rip Passing Over the Mountain	Rip Passing Over the Mountain	0	1896	\N	1	Fantasy,Short
tt0000111	short	Rip's Toast	Rip's Toast	0	1896	\N	1	Drama,Short
tt0000112	short	Rip's Toast to Hudson	Rip's Toast to Hudson	0	1896	\N	1	Fantasy,Short
tt0000113	short	Rip's Twenty Years' Sleep	Rip's Twenty Years' Sleep	0	1896	\N	1	Drama,Short
tt0000114	short	French Regiment Going to the Parade	Le régiment	0	1896	\N	\N	Documentary,Short
tt0000115	short	Réunion d'officiers	Réunion d'officiers	0	1896	\N	\N	Documentary,Short
tt0000116	short	Sac au dos	Sac au dos	0	1896	\N	\N	Short
tt0000117	short	Saída do Pessoal Operário da Fábrica Confiança	Saída do Pessoal Operário da Fábrica Confiança	0	1896	\N	1	Documentary,Short
tt0000118	short	Salut malencontreux d'un déserteur	Salut malencontreux d'un déserteur	0	1896	\N	\N	Short
tt0000119	short	Rescue on the River, Pt. 2	Sauvetage en rivière, 1er	0	1896	\N	\N	Documentary,Short
tt0000120	short	Rescue on the River, Pt. 1	Sauvetage en rivière, 2e	0	1896	\N	\N	Documentary,Short
tt0000121	short	The Soldier's Courtship	The Soldier's Courtship	0	1896	\N	1	Comedy,Short
tt0000122	short	Closing Hours at Vibert's Perfume Factory	Sortie des ateliers Vibert	0	1896	\N	\N	Documentary,Short
tt0000123	short	Conjuring	Séance de prestidigitation	0	1896	\N	1	Short
tt0000124	short	Tempête sur la jetée du treport	Tempête sur la jetée du treport	0	1896	\N	\N	Documentary,Short
tt0000125	short	The Terrible Railway Accident	The Terrible Railway Accident	0	1896	\N	\N	Short
tt0000126	short	Tom Old Boot	Tom Old Boot	0	1896	\N	\N	Short
tt0000127	short	Les tribulations d'un concierge	Les tribulations d'un concierge	0	1896	\N	\N	Comedy,Short
tt0000128	short	Academy for Young Ladies	Un lycée de jeunes filles	0	1896	\N	\N	Short
tt0000129	short	Un petit diable	Un petit diable	0	1896	\N	\N	Short
tt0000130	short	Une altercation au café	Une altercation au café	0	1896	\N	\N	Short
tt0000131	short	A Terrible Night	Une nuit terrible	0	1896	\N	1	Comedy,Horror,Short
tt0000132	short	Card Party	Une partie de cartes	0	1896	\N	1	Biography,Short
tt0000133	short	La voiture du potier	La voiture du potier	0	1896	\N	\N	Short
tt0000134	short	The Wandering Negro Minstrels	The Wandering Negro Minstrels	0	1896	\N	\N	Music,Short
tt0000135	short	A Watermelon Feast	A Watermelon Feast	0	1896	\N	\N	Documentary,Short
tt0000137	short	Au réfectoire	Au réfectoire	0	1897	\N	\N	Comedy,Short
tt0000138	short	The Bewitched Inn	L'auberge ensorcelée	0	1897	\N	2	Comedy,Horror,Short
tt0000139	short	L'aveugle	L'aveugle	0	1897	\N	\N	Drama,Short
tt0000140	short	Baignade dans le torrent	Baignade dans le torrent	0	1897	\N	1	Short
tt0000141	short	Ballet libella	Ballet libella	0	1897	\N	2	Documentary,Short
tt0000142	short	Buffalo Bill and Escort	Buffalo Bill and Escort	0	1897	\N	\N	News,Short
tt0000143	short	Les cambrioleurs	Les cambrioleurs	0	1897	\N	1	Comedy,Short
tt0000144	short	Chez le magnétiseur	Chez le magnétiseur	0	1897	\N	1	Comedy,Short
tt0000145	short	En classe	En classe	0	1897	\N	\N	Comedy,Short
tt0000146	short	Le cocher de fiacre endormi	Le cocher de fiacre endormi	0	1897	\N	\N	Comedy,Short
tt0000147	movie	The Corbett-Fitzsimmons Fight	The Corbett-Fitzsimmons Fight	0	1897	\N	100	Documentary,News,Sport
tt0000148	short	Le Coucher d'Yvette	Le Coucher d'Yvette	0	1897	\N	\N	Short
tt0000149	short	Behind the Scenes	Dans les coulisses	0	1897	\N	\N	Comedy,Short
tt0000150	short	Danse fleur de lotus	Danse fleur de lotus	0	1897	\N	1	Documentary,Short
tt0000151	short	Faust et Marguerite	Faust et Marguerite	0	1897	\N	\N	Short
tt0000152	short	The Hallucinated Alchemist	L'hallucination de l'alchimiste	0	1897	\N	2	Fantasy,Horror,Short
tt0000153	short	The Haunted Castle	The Haunted Castle	0	1897	\N	1	Horror,Short
tt0000154	short	Henley Regatta	Henley Regatta	0	1897	\N	\N	News,Short,Sport
tt0000155	short	The Hypnotist at Work	Le magnétiseur	0	1897	\N	\N	Short
tt0000156	short	A Badly Managed Hotel	L'hôtel empoisonné	0	1896	\N	\N	Comedy,Short
tt0000157	short	Idylle	Idylle	0	1897	\N	\N	Short
tt0000158	short	Idylle interrompue	Idylle interrompue	0	1897	\N	\N	Comedy,Short
tt0000159	short	The Devil's Laboratory	Le cabinet de Méphistophélès	0	1897	\N	1	Horror,Short
tt0000160	short	The Last Days of Pompeii	The Last Days of Pompeii	0	1900	\N	\N	Drama,Short
tt0000161	short	Leçon de danse	Leçon de danse	0	1897	\N	\N	Comedy,Short
tt0000162	short	Niagara Falls	Les chutes	0	1897	\N	1	Documentary,Short
tt0000163	short	Le planton du colonel	Le planton du colonel	0	1897	\N	\N	Comedy,Short
tt0000164	short	Le pêcheur dans le torrent	Le pêcheur dans le torrent	0	1897	\N	1	Comedy,Short
tt0000165	short	Riña en un café	Riña en un café	0	1897	\N	1	Short
tt0000166	short	Salida de los trabajadores de la fábrica España Industrial	Salida de los trabajadores de la fábrica España Industrial	0	1897	\N	1	Documentary,Short
tt0000167	short	Salida de misa de doce del Pilar de Zaragoza	Salida de misa de doce del Pilar de Zaragoza	0	1897	\N	\N	Documentary,Short
tt0000168	short	Salida del público de la iglesia parroquial de Santa María de Sans	Salida del público de la iglesia parroquial de Santa María de Sans	0	1897	\N	1	Documentary,Short
tt0000169	short	Slagsmål i gamla Stockholm	Slagsmål i gamla Stockholm	0	1897	\N	1	Short
tt0000170	short	The Twins' Tea Party	The Twins' Tea Party	0	1896	\N	1	Comedy,Short
tt0000171	short	Une nuit agitée	Une nuit agitée	0	1897	\N	\N	Comedy,Short
tt0000172	short	The X-Ray Fiend	The X-Ray Fiend	0	1897	\N	1	Comedy,Horror,Short
tt0000173	short	Battle of Santiago Bay	Battle of Santiago Bay	0	1898	\N	\N	Short,War
tt0000174	short	Výstavní párkar a lepic plakátù	Výstavní párkar a lepic plakátù	0	1898	\N	1	Comedy,Short
tt0000175	short	A Sea Cave Near Lisbon	A Sea Cave Near Lisbon	0	1896	\N	1	Documentary,Short
tt0000176	short	Brittania	Brittania	0	1898	\N	\N	Short
tt0000177	short	The Burglar on the Roof	The Burglar on the Roof	0	1898	\N	1	Crime,Short
tt0000178	short	The Cavalier's Dream	The Cavalier's Dream	0	1898	\N	1	Horror,Short
tt0000179	short	The Cave of the Demons	The Cave of the Demons	0	1898	\N	\N	Horror,Short
tt0000180	short	Le chemin de croix	Le chemin de croix	0	1898	\N	\N	Short
tt0000181	short	Cinderella	Cinderella	0	1898	\N	\N	Fantasy,Short
tt0000182	short	Come Along, Do!	Come Along, Do!	0	1898	\N	1	Comedy,Short
tt0000183	short	The Corsican Brothers	The Corsican Brothers	0	1898	\N	\N	Drama,Short
tt0000184	short	Cripple Creek Bar-Room Scene	Cripple Creek Bar-Room Scene	0	1899	\N	1	Short,Western
tt0000185	short	La crèche à Bethléem	La crèche à Bethléem	0	1898	\N	\N	Short
tt0000186	short	Le cuirassé Maine	Le cuirassé Maine	0	1898	\N	\N	Short,War
tt0000187	short	La cène	La cène	0	1898	\N	1	Short
tt0000188	short	The Deserter	The Deserter	0	1898	\N	\N	Drama,Short
tt0000189	short	Dorotea	Dorotea	0	1898	\N	\N	Short
tt0000190	short	Dostavenícko ve mlýnici	Dostavenícko ve mlýnici	0	1898	\N	1	Comedy,Short
tt0000191	short	Déménagement à la cloche de bois	Déménagement à la cloche de bois	0	1898	\N	\N	Short
tt0000192	short	Ella Lola, a la Trilby	Ella Lola, a la Trilby	0	1898	\N	\N	Short
tt0000193	short	L'entrée à Jérusalem	L'entrée à Jérusalem	0	1898	\N	\N	Short
tt0000194	short	Express Train on a Railway Cutting	Express Train on a Railway Cutting	0	1898	\N	\N	Documentary,Short
tt0000195	short	Les farces de Jocko	Les farces de Jocko	0	1898	\N	\N	Comedy,Short
tt0000196	short	Faust and Mephistopheles	Faust and Mephistopheles	0	1898	\N	\N	Fantasy,Short
tt0000197	short	La flagellation	La flagellation	0	1898	\N	1	Short
tt0000198	short	La fuite en Égypte	La fuite en Égypte	0	1898	\N	1	Short
tt0000199	short	Glasgow Fire Engine	Glasgow Fire Engine	0	1898	\N	\N	Short
tt0000200	short	Gran corrida de toros	Gran corrida de toros	0	1898	\N	\N	Documentary,Short,Sport
tt0000201	short	Indian War Council	Indian War Council	0	1898	\N	\N	News,Short
tt0000202	short	Le jardin des oliviers	Le jardin des oliviers	0	1898	\N	\N	Short
tt0000203	short	Je vous y prrrrends!	Je vous y prrrrends!	0	1898	\N	\N	Short
tt0000204	short	Jésus devant Pilate	Jésus devant Pilate	0	1898	\N	\N	Short
tt0000205	short	Leçons de boxe	Leçons de boxe	0	1898	\N	1	Comedy,Short,Sport
tt0000206	short	Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona	Llegada de un tren a la estación de ferrocarril del Norte, de Barcelona	0	1898	\N	\N	Documentary,Short
tt0000207	short	London Express	London Express	0	1898	\N	\N	Documentary,Short
tt0000208	short	The Miller and Chimney Sweep	The Miller and the Sweep	0	1897	\N	1	Comedy,Short
tt0000209	short	Photographing a Ghost	Photographing a Ghost	0	1898	\N	\N	Horror,Short
tt0000210	short	A Novice at X-rays	Les rayons Röntgen	0	1898	\N	1	Short
tt0000211	short	The Astronomer's Dream; or, the Man in the Moon	La lune à un mètre	0	1898	\N	3	Comedy,Fantasy,Horror
tt0000212	short	Saida do Paquete Duque de Braganca	Saida do Paquete Duque de Braganca	0	1898	\N	\N	Short
tt0000213	short	Scène d'escamotage	Scène d'escamotage	0	1898	\N	1	Short
tt0000214	short	Tearing Down the Spanish Flag	Tearing Down the Spanish Flag	0	1898	\N	\N	Short,War
tt0000215	short	Smích a plác	Smích a plác	0	1898	\N	\N	Documentary,Short
tt0000216	short	Visita de Doña María Cristina y Alfonso XIII a Barcelona	Visita de Doña María Cristina y Alfonso XIII a Barcelona	0	1898	\N	\N	News,Short
tt0000217	short	Waves and Spray	Waves and Spray	0	1898	\N	\N	Short
tt0000218	short	L'affaire Dreyfus	L'affaire Dreyfus	0	1899	\N	13	Biography,Drama,Short
tt0000219	short	Aladdin and the Wonderful Lamp	Aladdin and the Wonderful Lamp	0	1899	\N	\N	Fantasy,Short
tt0000220	short	The Artist and the Flower Girl	The Artist and the Flower Girl	0	1901	\N	\N	Romance,Short
tt0000221	short	Aspectos da Praia de Cascais	Aspectos da Praia de Cascais	0	1899	\N	\N	Documentary,Short
tt0000222	short	Au cabaret	Au cabaret	0	1899	\N	1	Comedy,Short
tt0000223	short	L'aveugle	L'aveugle	0	1899	\N	\N	Short
tt0000224	short	Battlefield	Battlefield	0	1899	\N	\N	Short
tt0000225	short	Beauty and the Beast	La belle et la bête	0	1899	\N	\N	Family,Fantasy,Romance
tt0000226	short	Boat Race	Boat Race	0	1899	\N	\N	Short
tt0000227	short	Bombardment of Mafeking	Bombardment of Mafeking	0	1899	\N	\N	Drama,Short,War
tt0000228	short	La bonne absinthe	La bonne absinthe	0	1899	\N	1	Short
tt0000229	short	Casey at the Bat	Casey at the Bat	0	1899	\N	1	Short,Sport
tt0000230	short	Cinderella	Cendrillon	0	1899	\N	6	Drama,Family,Fantasy
tt0000231	short	Portuguese Railway Train	Portuguese Railway Train	0	1896	\N	1	Documentary,Short
tt0000232	short	Le chiffonnier	Le chiffonnier	0	1899	\N	\N	Comedy,Short
tt0000233	short	Choque de dos transatlánticos	Choque de dos transatlánticos	0	1899	\N	2	Animation,Short
tt0000234	short	Cleopatra's Tomb	Cléopâtre	0	1899	\N	1	Horror,Short
tt0000235	short	Haggard's She: The Pillar of Fire	La colonne de feu	0	1899	\N	1	Adventure,Fantasy,Horror
tt0000236	short	Courte échelle	Courte échelle	0	1899	\N	\N	Short
tt0000237	short	Le crucifiement	Le crucifiement	0	1899	\N	\N	Short
tt0000238	short	Les dangers de l'alcoolisme	Les dangers de l'alcoolisme	0	1899	\N	\N	Drama,Short
tt0000239	short	Danse serpentine par Mme. Bob Walter	Danse serpentine par Mme. Bob Walter	0	1899	\N	2	Music,Short
tt0000240	short	Distributing a War Extra	Distributing a War Extra	0	1899	\N	1	Documentary,Short
tt0000241	short	La descente de croix	La descente de croix	0	1899	\N	\N	Short
tt0000242	short	The Sign of the Cross	Le diable au couvent	0	1899	\N	3	Fantasy,Horror,Short
tt0000243	short	Le déjeuner des enfants	Le déjeuner des enfants	0	1899	\N	\N	Comedy,Short
tt0000244	short	Erreur judiciaire	Erreur judiciaire	0	1899	\N	\N	Short
tt0000245	short	The Haunted House	The Haunted House	0	1899	\N	\N	Comedy,Fantasy,Horror
tt0000246	short	A Turn of the Century Illusionist	L'impressionniste fin de siècle	0	1899	\N	1	Fantasy,Short
tt0000247	short	King John	King John	0	1899	\N	5	Drama,Short
tt0000248	short	A Kiss in the Tunnel	The Kiss in the Tunnel	0	1899	\N	1	Comedy,Romance,Short
tt0000249	short	The Legacy	The Legacy	0	1899	\N	\N	Short
tt0000250	short	Llegada del vapor Bellver a Mallorca	Llegada del vapor Bellver a Mallorca	0	1899	\N	3	Documentary,Short
tt0000251	short	Matches: An Appeal	Matches: An Appeal	0	1899	\N	1	Animation,Short
tt0000252	short	La mauvaise soupe	La mauvaise soupe	0	1899	\N	\N	Comedy,Short
tt0000253	short	The Miser's Doom	The Miser's Doom	0	1899	\N	\N	Horror,Short
tt0000254	short	Monnaie de lapin	Monnaie de lapin	0	1899	\N	\N	Comedy,Short
tt0000255	short	Mésaventure d'un charbonnier	Mésaventure d'un charbonnier	0	1899	\N	\N	Comedy,Short
tt0000256	short	Panorama from the Tower of the Brooklyn Bridge	Panorama from the Tower of the Brooklyn Bridge	0	1899	\N	\N	Documentary,Short
tt0000257	short	La résurrection	La résurrection	0	1899	\N	\N	Short
tt0000258	short	Le tondeur de chiens	Le tondeur de chiens	0	1899	\N	\N	Comedy,Short
tt0000259	short	Le tonnelier	Le tonnelier	0	1899	\N	\N	Comedy,Short
tt0000260	short	Transformations	Transformations	0	1899	\N	\N	Comedy,Short
tt0000261	short	A Midnight Episode	Un bon lit	0	1899	\N	1	Comedy,Horror,Short
tt0000262	short	Un lunch	Un lunch	0	1899	\N	\N	Comedy,Short
tt0000263	short	Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria	Vista de la entrada principal de la plaza de toros de Jerez, el segundo día de feria	0	1899	\N	\N	Documentary,Short
tt0000264	short	Summoning the Spirits	Évocation spirite	0	1899	\N	1	Fantasy,Horror,Short
tt0000265	short	Above the Limit	Above the Limit	0	1900	\N	\N	Comedy,Short
tt0000266	short	Above the Speedway	Above the Speedway	0	1900	\N	\N	Documentary,Short
tt0000267	short	L'angélus	L'angélus	0	1900	\N	\N	Short
tt0000268	short	L'arléquine	L'arléquine	0	1900	\N	\N	Short
tt0000269	short	Army Life; or, How Soldiers Are Made: Mounted Infantry	Army Life	0	1900	\N	\N	Documentary,Short
tt0000270	short	Arrivée d'Arléquin	Arrivée d'Arléquin	0	1900	\N	\N	Short
tt0000271	short	Arrivée de Pierette et Pierrot	Arrivée de Pierette et Pierrot	0	1900	\N	\N	Short
tt0000272	short	As Seen Through a Telescope	As Seen Through a Telescope	0	1900	\N	1	Comedy,Short
tt0000273	short	Attack on a China Mission	Attack on a China Mission	0	1900	\N	4	Action,Crime,Drama
tt0000274	short	Avenue de l'opéra	Avenue de l'opéra	0	1900	\N	1	Comedy,Short
tt0000275	short	Badinage	Badinage	0	1900	\N	\N	Short
tt0000276	short	Bataille d'oreillers	Bataille d'oreillers	0	1900	\N	\N	Short
tt0000277	short	Bataille de boules de neige	Bataille de boules de neige	0	1900	\N	\N	Short
tt0000278	short	Buffalo Bill's Show Parade	Buffalo Bill's Show Parade	0	1900	\N	\N	Short
tt0000279	short	Buffalo Bill's Wild West Parade	Buffalo Bill's Wild West Parade	0	1900	\N	\N	News,Short
tt0000280	short	Buffalo Bill's Wild West Parade	Buffalo Bill's Wild West Parade	0	1900	\N	\N	News,Short
tt0000281	short	Buffalo Bill's Wild West Show	Buffalo Bill's Wild West Show	0	1900	\N	\N	News,Short
tt0000282	short	Le bébé	Le bébé	0	1900	\N	\N	Short
tt0000283	short	Chez le Maréchal-Ferrant	Chez le Maréchal-Ferrant	0	1900	\N	\N	Short
tt0000284	short	Chez le photographe	Chez le photographe	0	1900	\N	1	Short
tt0000285	short	Chinese Magic	Chinese Magic	0	1900	\N	\N	Horror,Short
tt0000286	short	Chirurgie fin de siècle	Chirurgie fin de siècle	0	1900	\N	2	Comedy,Short
tt0000287	short	The Clown and the Alchemist	The Clown and the Alchemist	0	1900	\N	1	Comedy,Fantasy,Short
tt0000288	short	La concierge	La concierge	0	1900	\N	1	Comedy,Short
tt0000289	short	Coucher d'une Parisienne	Coucher d'une Parisienne	0	1900	\N	\N	Short
tt0000290	short	Dance de l'ivresse	Dance de l'ivresse	0	1900	\N	\N	Short
